,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Place Info,Retweets,Favorites,Language,Source,Tweet Text_cln,Subjectivity,Polarity
802,I have an announcement to my Pokemon go friends if you're one of them but I caught another shiny oshawott and I really don't have anything planned for it so I was wondering maybe I should trade the shiny options so to enter this competition for the shiny Oshawa,2021-09-19 20:13:49,1439684174747770885,diazvirgen20,Milwaukee,0,0,en,Twitter for Android,I have an announcement to my Pokemon go friends if you're one of them but I caught another shiny oshawott and I really don't have anything planned for it so I was wondering maybe I should trade the shiny options so to enter this competition for the shiny Oshawa,0.2,0.2
803,"@berkozak I wouldn't recommend investing in those Pokemon. I'd prioritize big names like Dialga, Mewtwo, Kyogre, Groudon, etc.",2021-09-19 20:13:48,1439684167512494087,pvpoke,,0,1,en,Twitter Web App," I wouldn't recommend investing in those Pokemon. I'd prioritize big names like Dialga, Mewtwo, Kyogre, Groudon, etc.",0.1,0.0
804,"RT @PMDShitpost: i am unable to accept the idea of becoming a pokemon as a ""curse"" or ""punishment"" when the pokemon they turn you into is o…",2021-09-19 20:13:47,1439684165276897281,BigFluffyTanuki,"Nanaimo, British Columbia",1736,0,en,Twitter Web App,": i am unable to accept the idea of becoming a pokemon as a ""curse"" or ""punishment"" when the pokemon they turn you into is o…",0.675,-0.024999999999999994
805,pokemon detective pikachu has got a GRIP on me,2021-09-19 20:13:46,1439684162198257664,v_unhinged,,0,0,en,Twitter for iPhone,pokemon detective pikachu has got a GRIP on me,0.0,0.0
806,THIS MAN IS DOING A 27 HOUR STREAM JUST GIVING AWAY SICK POKEMON CARD SLABS 😭😭😭 GO GO GO!! https://t.co/atlbfnbnT4,2021-09-19 20:13:46,1439684161250467845,SteeloAndKri,safe space,0,0,en,Twitter for Android,THIS MAN IS DOING A 27 HOUR STREAM JUST GIVING AWAY SICK POKEMON CARD SLABS 😭😭😭 GO GO GO!! ,0.8571428571428571,-1.0
807,"RT @Pokemon: No thoughts, just Mareep https://t.co/fL63k3PN5r",2021-09-19 20:13:46,1439684161216737280,blubblesonland,,1816,0,en,Twitter for iPhone,": No thoughts, just Mareep ",0.0,0.0
808,"RT @aDrive_tK: 🚨GRADED ALT ART DRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and @tgacards
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",2021-09-19 20:13:42,1439684145320448005,Sherlock_Omz14,Mi Casa!! ,858,0,en,Twitter for Android,"_tK: 🚨GRADED ALT ADRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and 
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",0.0,0.0
809,RT @henryvargasart: Oshawott 🐚 Pokemon GO Community Day https://t.co/odHEPPVZIe,2021-09-19 20:13:42,1439684145127428097,BerniceConquers,Vegas,387,0,en,Twitter for Android,: Oshawott 🐚 Pokemon GO Community Day ,0.0,0.0
810,RT @WolfeyGlick: I'm looking for someone with a really deep knowledge of Pokemon lore (especially wrt the anime) to help on a video! DM if…,2021-09-19 20:13:42,1439684143558926342,Crypto279,"Manhattan, KS",8,0,en,Twitter for Android,: I'm looking for someone with a really deep knowledge of Pokemon lore (especially wrt the anime) to help on a video! DM if…,0.7,0.0
811,RT @_cuppcaake: We’ve been playing Pokémon Let’s Go Eevee nonstop and I reinstalled Pokémon Go and I’m addicted.. again 😑,2021-09-19 20:13:42,1439684143139508232,dhallisey1,,2,0,en,Twitter for Android,@_cuppcaake: We’ve been playing Pokémon Let’s Go Eevee nonstop and I reinstalled Pokémon Go and I’m addicted.. again 😑,0.6,-0.4
812,RT @biyu_draws: spoopy pokemon patterns!! 👻 https://t.co/HvILjmUjdE,2021-09-19 20:13:39,1439684132536295432,xxjessicaisisxx,"New York, NY",1555,0,en,Twitter for iPhone,_draws: spoopy pokemon patterns!! 👻 ,0.0,0.0
813,"RT @NickTehShonx: Soooo I really enjoyed Chapter 2…
SO HAVE A RALSEI!!!
This is my first non Pokémon drawing and I’m actually kinda proud o…",2021-09-19 20:13:36,1439684116543246336,StarchiPuppy,New Zealand,40,0,en,Twitter Web App,": Soooo I really enjoyed Chapter 2…
SO HAVE A RALSEI!!!
This is my first non Pokémon drawing and I’m actually kinda proud o…",0.5333333333333333,0.506640625
814,RT @pokejungle: @Pokemon And revives. And therapy sessions.,2021-09-19 20:13:35,1439684116119707653,DLRShaw,"Amsterdam, The Netherlands",10,0,en,Twitter for Android,:  And revives. And therapy sessions.,0.0,0.0
815,RT @maddestmao: it marnie pokemon https://t.co/0T89nyUAWE,2021-09-19 20:13:34,1439684111476658180,Cawfeel,"Tucson, AZ",648,0,en,Twitter for iPhone,: it marnie pokemon ,0.0,0.0
816,If rivers cuomo played pokemon he's catch butterfree with his mother's mason jaw.,2021-09-19 20:13:34,1439684111392821248,senoritajosie,"Los Angeles, CA ",0,0,en,Twitter Web App,If rivers cuomo played pokemon he's catch butterfree with his mother's mason jaw.,0.0,0.0
817,RT @henryvargasart: Oshawott 🐚 Pokemon GO Community Day https://t.co/odHEPPVZIe,2021-09-19 20:13:34,1439684110272933890,beastkeeping,your mom's house,387,0,en,Twitter for Android,: Oshawott 🐚 Pokemon GO Community Day ,0.0,0.0
818,"does anybody remember that video from Pokémon Sword/Shield where a Japanese player was looking a cute, low-lvl Pokémon and then gets jumped by a hugely-powerful Pokemon??",2021-09-19 20:13:33,1439684106472738820,YouAndYourEgo,,0,0,en,Twitter Web App,"does anybody remember that video from Pokémon Sword/Shield where a Japanese player was looking a cute, low-lvl Pokémon and then gets jumped by a hugely-powerful Pokemon??",0.5,0.25
819,RT @Pokemon: Hope you're stocked up on potions! 😫 https://t.co/s77krns4mO,2021-09-19 20:13:33,1439684104941969411,DLRShaw,"Amsterdam, The Netherlands",603,0,en,Twitter for Android,: Hope you're stocked up on potions! 😫 ,0.0,0.0
820,RT @munespice: little guys #Pokemon https://t.co/Brwz5328nv,2021-09-19 20:13:30,1439684094217048066,maorluxia,nella tomba per colpa di hiro,211,0,en,Twitter for Android,: little guys Pokemon ,0.5,-0.1875
821,"RT @Bulbapedia: 14 years ago today, ""Pokémon: Lucario and the Mystery of Mew"" (M08) was first released in North America! 
It is the third A…",2021-09-19 20:13:30,1439684092572749824,eordaz111,,125,0,en,Twitter for iPhone,": 14 years ago today, ""Pokémon: Lucario and the Mystery of Mew"" (M08) was first released in North America! 
It is the third A…",0.16666666666666666,0.15625
822,My pokemon are better than yours!,2021-09-19 20:13:29,1439684090265944065,Bot_Ladonia,,0,0,en,twittbot.net,My pokemon are better than yours!,0.5,0.625
823,@SerenTheWarmech no i just dont like seeing pokemon abuse like that-,2021-09-19 20:13:27,1439684081508405259,AzzyTheFurry,germany,0,0,en,Twitter Web App, no i just dont like seeing pokemon abuse like that-,0.0,0.0
824,"RT @smilingpokemon: The smiling Pokémon of the day is... Cherubi! With water, sunlight, and happiness, you'll be able to grow into your bes…",2021-09-19 20:13:26,1439684075732701185,ItsSymphonyy,Vibe central,61,0,en,Twitter for iPhone,": The smiling Pokémon of the day is... Cherubi! With water, sunlight, and happiness, you'll be able to grow into your bes…",0.4125,0.6
825,RT @maddestmao: it marnie pokemon https://t.co/0T89nyUAWE,2021-09-19 20:13:25,1439684071714705414,Phigra_Newmo,"Newfoundland and Labrador, Canada",648,0,en,Twitter for iPad,: it marnie pokemon ,0.0,0.0
826,RT @munespice: little guys #Pokemon https://t.co/Brwz5328nv,2021-09-19 20:13:25,1439684071597043712,xXHana_ChanXx,,211,0,en,Twitter for iPhone,: little guys Pokemon ,0.5,-0.1875
827,PMD related but they all usually followed the plot of the games they were based in. Like where’s the original story content in the Pokémon fanbase? I need my Juice,2021-09-19 20:13:24,1439684069386866690,Cazicomi,Radiator Springs,0,0,en,Twitter for iPhone,PMD related but they all usually followed the plot of the games they were based in. Like where’s the original story content in the Pokémon fanbase? I need my Juice,0.4666666666666666,0.041666666666666664
828,Ice cream at the park with the boy while Pokémon hunting. Hell yes!! 🍦🥰❤️ https://t.co/gYIpFd98ue,2021-09-19 20:13:24,1439684068547891206,AngelicDivinity,"Toronto, Ontario",0,20,en,Twitter for iPhone,Ice cream at the park with the boy while Pokémon hunting. Hell yes!! 🍦🥰❤️ ,0.0,0.0
829,"I feel like there should be more like, Pokémon OC fan-comics out there like there’s so much possibilities with that but I never seen them before???",2021-09-19 20:13:24,1439684067184758792,Cazicomi,Radiator Springs,0,1,en,Twitter for iPhone,"I feel like there should be more like, Pokémon OC fan-comics out there like there’s so much possibilities with that but I never seen them before???",0.35,0.35
830,"RT @aDrive_tK: 🚨GRADED ALT ART DRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and @tgacards
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",2021-09-19 20:13:23,1439684063904808972,Caleb19864810,"Dunfermline, Scotland",858,0,en,Twitter for Android,"_tK: 🚨GRADED ALT ADRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and 
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",0.0,0.0
831,"RT @PsiKali_Arts: My best starters with a little crossover ✨
#Pokemon #ChronoTrigger https://t.co/oBH6UQLHqp",2021-09-19 20:13:20,1439684051120631808,PsiKali_,"Paris, Ile-de-France",1,0,en,Twitter Web App,"_Arts: My best starters with a little crossover ✨
Pokemon ChronoTrigger ",0.4,0.40625
832,"RT @taesnowhite: “if it’s not pokemon, i’m not taking it!” 🤪

— kim taehyung @BTS_twt

 https://t.co/4rorwucBZD",2021-09-19 20:13:19,1439684045164716034,bangtanalwayss,18+ ,906,0,en,Twitter for iPhone,": “if it’s not pokemon, i’m not taking it!” 🤪

— kim taehyung _twt

 ",0.0,0.0
833,RT @munespice: little guys #Pokemon https://t.co/Brwz5328nv,2021-09-19 20:13:18,1439684041662337027,CottonDormouse,The Shop,211,0,en,Twitter for Android,: little guys Pokemon ,0.5,-0.1875
834,Totally didn't open up Pokemon Go and proceeded to catch 6 shiny oshawotts within 2 hours,2021-09-19 20:13:16,1439684034607529990,msbelover,,0,0,en,Twitter for Android,Totally didn't open up Pokemon Go and proceeded to catch 6 shiny oshawotts within 2 hours,0.625,0.0
835,RT @Pokemon: Hope you're stocked up on potions! 😫 https://t.co/s77krns4mO,2021-09-19 20:13:15,1439684028442058762,BeefWuff,"Vienna, Austria",603,0,en,Twitter for Android,: Hope you're stocked up on potions! 😫 ,0.0,0.0
836,RT @Poke_Countdown: 131 days until the release of Pokemon Legends: Arceus! https://t.co/BiXEvRgXei,2021-09-19 20:13:09,1439684006702817280,TrashTheSeagull,"British Columbia, Canada",23,0,en,Twitter for Android,_Countdown: 131 days until the release of Pokemon Legends: Arceus! ,0.0,0.0
837,"RT @JanFreedman: BEAUTIFUL leafy sea dragon. It's not a Pokémon, it's real. 

These guys live off the coast of Australia, and the 'leafy' g…",2021-09-19 20:13:07,1439683998360514570,Marclief,,124,0,en,Twitter Web App,": BEAUTIFUL leafy sea dragon. It's not a Pokémon, it's real. 

These guys live off the coast of Australia, and the 'leafy' g…",0.6,0.3954545454545455
838,RT @Poke_Countdown: 61 days until the release of Pokemon Brilliant Diamond &amp; Shining Pearl! https://t.co/YxMtw8fU8y,2021-09-19 20:13:07,1439683996951060480,TrashTheSeagull,"British Columbia, Canada",36,0,en,Twitter for Android,_Countdown: 61 days until the release of Pokemon Brilliant Diamond &amp; Shining Pearl! ,1.0,1.0
839,RT @munespice: little guys #Pokemon https://t.co/Brwz5328nv,2021-09-19 20:13:05,1439683987186896897,DemonFestival,"Montréal, Québec",211,0,en,Twitter for Android,: little guys Pokemon ,0.5,-0.1875
840,RT @scientistotd: Scientist of the day = Hyouta (Roark) from Pokemon Diamond and Pearl: he is a mineralogist and paleontologist. https://t.…,2021-09-19 20:13:04,1439683985148424201,MothWithAPencil,17 - she/her,7,0,en,Twitter for Android,: Scientist of the day = Hyouta (Roark) from Pokemon Diamond and Pearl: he is a mineralogist and paleontologist. ,0.0,0.0
841,"@PokemonGoApp 「Please add me 

248749837181

3268 1424 1990

I need new friends for inviting me to raids. Gift will be send daily.」

Pokémon GO
I live in Japan.
Invite Uxie Raid!
Azelf, Mesprit Please be a friend who invites you.

 #PokemonGO 
＃Pokemon",2021-09-19 20:12:56,1439683951858053120,iphone_0630,,0,0,en,Twitter for iPhone," 「Please add me 

248749837181

3268 1424 1990

I need new friends for inviting me to raids. Gift will be send daily.」

Pokémon GO
I live in Japan.
Invite Uxie Raid!
Azelf, Mesprit Please be a friend who invites you.

 PokemonGO 
＃Pokemon",0.4772727272727273,0.15340909090909088
842,@Pokemon Then learn years later to catch a Machop or something and one hit milktank,2021-09-19 20:12:56,1439683950440505345,sanctospiritu91,"Virginia, USA",0,0,en,Twitter for iPhone, Then learn years later to catch a Machop or something and one hit milktank,0.0,0.0
843,"RT @SakugaPokemon: Key Animation: ??
Source: Pokemon Sun &amp; Moon #08 https://t.co/VCnzR1uFrO",2021-09-19 20:12:55,1439683947382943747,moonr0s3,she/they-demigirl,46,0,en,Twitter for iPhone,": Key Animation: ??
Source: Pokemon Sun &amp; Moon 08 ",1.0,0.0
844,RT @Ty___Martin: @KrystelPurpleS @StarIsConfused pokemon is literally the most profitable thing on the planet that nigga pikachu is a more…,2021-09-19 20:12:55,1439683946992840710,darkskinglory,"San Antonio, TX",4,0,en,Twitter for iPhone,___Martin:   pokemon is literally the most profitable thing on the planet that nigga pikachu is a more…,0.5,0.5
845,@clayranck What does that even have to do with Pokémon,2021-09-19 20:12:55,1439683946455965701,bdragon74,Probably Mars.,0,1,en,Twitter for Android, What does that even have to do with Pokémon,0.0,0.0
846,"This is so triggering. 

""Milktank used rollout!""

Hardest gym in the entire franchise. https://t.co/N3WAHsBHOh",2021-09-19 20:12:53,1439683936750346240,ddiegohernandez,,0,0,en,Twitter for Android,"This is so triggering. 

""Milktank used rollout!""

Hardest gym in the entire franchise. ",0.625,0.0
847,"RT @Eiquo_: header for @irumacreatives  (but he stopped🥲)
pokemon purple 💜🖤

support appreciated ♥️🙏 https://t.co/1Lrk7FCUCD",2021-09-19 20:12:53,1439683936536387592,Rystex,Mobile designer Ryu/Legion/,3,0,en,Twitter for Android,"_: header for   (but he stopped🥲)
pokemon purple 💜🖤

support appreciated ♥️🙏 ",0.1,0.2
848,@championleonbot Just go home leon you are just annoying my pokemon just because i defeated you,2021-09-19 20:12:52,1439683933185232905,WScorbunny,Boffa,0,0,en,Twitter Web App, Just go home leon you are just annoying my pokemon just because i defeated you,0.9,-0.8
849,"Ninetales scoring a Double KO against Pikachu and Charizard before the Zapdos battle.

#Pokemon #PokemonUNITE #NintendoSwitch https://t.co/CC56whR29J",2021-09-19 20:12:50,1439683924242829317,Ryan_AM117,"North Carolina, USA",0,0,en,Nintendo Switch Share,"Ninetales scoring a Double KO against Pikachu and Charizard before the Zapdos battle.

Pokemon PokemonUNITE NintendoSwitch ",0.0,0.0
850,RT @maddestmao: it marnie pokemon https://t.co/0T89nyUAWE,2021-09-19 20:12:49,1439683919465517057,FauxRuhm98,"Somewhere, Out there",648,0,en,Twitter for Android,: it marnie pokemon ,0.0,0.0
851,RT @BOOKperks: I remember driving thru RIC(Rhode Island College) and going Pokémon hunting lol don't judge me smh,2021-09-19 20:12:47,1439683911647473664,RhodeIslandRT,"Rhode Island, USA",1,0,en,TacoBotTacos,: I remember driving thru RIC(Rhode Island College) and going Pokémon hunting lol don't judge me smh,0.7,0.8
852,"@anairis_q Playing thorugh Pokemon Soul silver in french, Assassins creed 3 Remaster and SkateBIRD :#",2021-09-19 20:12:47,1439683911030870018,AxellesNobody,USA,0,0,en,Twitter Web App,"_q Playing thorugh Pokemon Soul silver in french, Assassins creed 3 Remaster and SkateBIRD :",0.0,0.0
853,"RT @rileyrethaI: see the thing w pokemon is that u don't actually have to catch them all, u just have to make them believe that they could…",2021-09-19 20:12:46,1439683906639314950,sn0wglass,looking for a cursed sword,79,0,en,Twitter for iPhone,": see the thing w pokemon is that u don't actually have to catch them all, u just have to make them believe that they could…",0.1,0.0
854,"RT @aDrive_tK: 🚨GRADED ALT ART DRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and @tgacards
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",2021-09-19 20:12:43,1439683894173831168,robotcutie34,,858,0,en,Twitter for Android,"_tK: 🚨GRADED ALT ADRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and 
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",0.0,0.0
855,RT @Pokemon: Hope you're stocked up on potions! 😫 https://t.co/s77krns4mO,2021-09-19 20:12:42,1439683891246284802,BaconMajored,DFW,603,0,en,Twitter for Android,: Hope you're stocked up on potions! 😫 ,0.0,0.0
856,RT @maddestmao: it marnie pokemon https://t.co/0T89nyUAWE,2021-09-19 20:12:41,1439683888356511745,vazcas_chris,,648,0,en,Twitter for Android,: it marnie pokemon ,0.0,0.0
857,Cool trade 👌🏼 #pokemon #pokemonhome https://t.co/vhnnp17Zrb,2021-09-19 20:12:38,1439683875949658117,iguiis,"Lisbon, Portugal",0,0,en,Twitter for Android,Cool trade 👌🏼 pokemon pokemonhome ,0.65,0.35
858,RT @MunchingOrange: Pokémon just announced a new game mode for Diamond and Pearl remakes https://t.co/FvryJf1yYy,2021-09-19 20:12:38,1439683874456432641,dogebank101,,363,0,en,Twitter for iPhone,: Pokémon just announced a new game mode for Diamond and Pearl remakes ,0.42727272727272725,-0.13181818181818183
859,I can't... I'm just not strong enough https://t.co/3l6OAn9DUw,2021-09-19 20:12:37,1439683871872888834,BaconMajored,DFW,0,1,en,Twitter for Android,I can't... I'm just not strong enough ,0.6166666666666667,-0.10833333333333332
860,"@pr3ttyperform3r /Awesome! Thanks for that.

Incidentally, if you do make that Shauna account, let me know. I, genuinely, have a soft spot for Kalos, in general. It revived my love of Pokémon.",2021-09-19 20:12:35,1439683864293748736,HisMultiverse,The rift between realms.,0,0,en,Twitter for Android," /Awesome! Thanks for that.

Incidentally, if you do make that Shauna account, let me know. I, genuinely, have a soft spot for Kalos, in general. It revived my love of Pokémon.",0.43,0.25
861,RT @catface_otd: the :3 face character of the day is Momo from Pokemon! https://t.co/wCkcCNW9mV,2021-09-19 20:12:34,1439683856756523014,Plagueo_Doctor,They/Them,93,0,en,Twitter for Android,_otd: the :3 face character of the day is Momo from Pokemon! ,1.0,0.625
862,"My best starters with a little crossover ✨
#Pokemon #ChronoTrigger https://t.co/oBH6UQLHqp",2021-09-19 20:12:31,1439683846862147585,PsiKali_Arts,France,1,0,en,Twitter Web App,"My best starters with a little crossover ✨
Pokemon ChronoTrigger ",0.4,0.40625
863,"RT @SakugaPokemon: Key Animation: ??
Source: Pokemon Sun &amp; Moon #08 https://t.co/VCnzR1uFrO",2021-09-19 20:12:30,1439683841610891265,EelektrosSpheal,"Laverre, Hauts de Kalos, Kalos",46,0,en,Twitter Web App,": Key Animation: ??
Source: Pokemon Sun &amp; Moon 08 ",1.0,0.0
864,RT @HolaMoniMoni: Ok I'm ready for  Pokemon pin&amp;pon. November wait for me ;__; https://t.co/BO6s0hSccj,2021-09-19 20:12:28,1439683834463858688,B1iz4rd,Uranus,459,0,en,Twitter for Android,: Ok I'm ready for  Pokemon pin&amp;pon. November wait for me ;__; ,0.5,0.35
865,"RT @aDrive_tK: 🚨GRADED ALT ART DRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and @tgacards
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",2021-09-19 20:12:26,1439683824292712454,jason_fs_milf,In bed ,858,0,en,Twitter for iPhone,"_tK: 🚨GRADED ALT ADRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and 
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",0.0,0.0
866,RT @henryvargasart: Oshawott 🐚 Pokemon GO Community Day https://t.co/odHEPPVZIe,2021-09-19 20:12:26,1439683822887526408,creachures,pensyltucky,387,0,en,Twitter for iPhone,: Oshawott 🐚 Pokemon GO Community Day ,0.0,0.0
867,RT @Pokemon: Hope you're stocked up on potions! 😫 https://t.co/s77krns4mO,2021-09-19 20:12:21,1439683804252278784,RomaPerez10,"Florencia, Italia",603,0,en,Twitter for iPhone,: Hope you're stocked up on potions! 😫 ,0.0,0.0
868,RT @munespice: little guys #Pokemon https://t.co/Brwz5328nv,2021-09-19 20:12:18,1439683790755057665,PuccaFanGirl,The Devil's Casino,211,0,en,Twitter Web App,: little guys Pokemon ,0.5,-0.1875
869,@AriaSnowsong @__JAS0N__ @Pokemon almost lost my shit,2021-09-19 20:12:16,1439683784752914436,FabibouTroPipou,dans ton cul lol ^^ petite bla,0,0,en,Twitter Web App, @__JAS0N__  almost lost my shit,0.8,-0.2
870,@Pokemon Miltank just HIT DIFFERENT.,2021-09-19 20:12:14,1439683776242720775,DJwasHERE66,"Saint Louis, Missouri",0,0,en,Twitter for Android, Miltank just HIT DIFFERENT.,0.6,0.0
871,"Thank you all who hung out at the stream!!! Pokémon: The First Journey is really fun so far. Even though it's not canon, it's interesting to see these characters younger.

We got raided by the wonderful @GhoulishGengarr and sent the love ourselves to the great @DragonDance05",2021-09-19 20:12:13,1439683770660102154,Marlex_Explores,,0,2,en,Twitter Web App,"Thank you all who hung out at the stream!!! Pokémon: The First Journey is really fun so far. Even though it's not canon, it's interesting to see these characters younger.

We got raided by the wonderful  and sent the love ourselves to the great ",0.5479166666666666,0.43125
